ID Facetten;Descr Facetten;Descr XING;ID XING;;;;
;;Freizeiteinrichtungen & -dienstleistungen;91;;;;
;;Sport;99;;;;
39;Verbände & Institutionen;Bürgerinitiativen & soziale Einrichtungen;16;;;;
;;Spendenaktionen;38;;;;
;;Forschung;93;;;;
40;Versicherungen;Versicherungen;49;;;;
41;Weitere Branchen (Default-Mapping);Andere;77;;;;
;;-;0;;;;
;;Internationale Angelegenheiten;50;;;;
;;;;;;;
;;;;;;;
;;;;;;;
